1111111SALARIO ABAIXO DE 5000        0400000F
2222222SEXO MASCULINO                0600000M
3333333 MULHER QUE GANHA BEM         0999998F
3333333 MULHER QUE GANHA BEM         0999998F
3333333 MULHER QUE GANHA BEM         0999998F
3333333 MULHER QUE GANHA BEM         0999998F
3333333 MULHER QUE GANHA BEM         0999998F
3333333 MULHER QUE GANHA BEM         0999998F
3333333 MULHER QUE GANHA BEM         0999998F
3333333 MULHER QUE GANHA BEM         0999998F
3333333 MULHER QUE GANHA BEM         0999998F
3333333 MULHER QUE GANHA BEM         0999998F
3333333 MULHER QUE GANHA BEM         0999998F
3333333 MULHER QUE GANHA BEM         0999998F
3333333 MULHER QUE GANHA BEM         0999998F
3333333 MULHER QUE GANHA BEM         0999998F
3333333 MULHER QUE GANHA BEM         0999998F
3333333 MULHER QUE GANHA BEM         0999998F
3333333 MULHER QUE GANHA BEM         0999998F
3333333 MULHER QUE GANHA BEM         0999998F
3333333 MULHER QUE GANHA BEM         0999998F
3333333 MULHER QUE GANHA BEM         0999998F
3333333 MULHER QUE GANHA BEM         0999998F
